OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
OTU97_1606;size=113	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
OTU97_3224;size=40	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Pleosporales	Pleosporales		Pleosporales												
OTU97_6089;size=4	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_3531;size=26	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
OTU97_5421;size=6	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Agaricales	Agaricales		Agaricales	Marasmiaceae	Marasmiaceae		Marasmiaceae	Marasmius	Marasmius		Marasmius				
OTU97_3561;size=17	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes																
OTU97_1154;size=190	Fungi	Fungi	Fungi	Fungi																								
OTU97_2596;size=50	Fungi	Fungi	Fungi	Fungi																								
OTU97_3373;size=20	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Eurotiomycetes	Eurotiomycetes		Eurotiomycetes																
OTU97_3434;size=33	Fungi	Fungi	Fungi	Fungi																								
OTU97_5750;size=5	Fungi	Fungi	Fungi	Fungi																								
OTU97_6839;size=2	Fungi	Fungi	Fungi	Fungi																								
OTU97_5022;size=9	Fungi	Fungi	Fungi	Fungi																								
OTU97_435;size=1569	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota		Cystobasidiomycetes		Cystobasidiomycetes																
OTU97_3356;size=20	Fungi	Fungi	Fungi	Fungi																								
OTU97_5717;size=5	Fungi	Fungi	Fungi	Fungi																								
OTU97_7157;size=2	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
OTU97_5875;size=4	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Leotiomycetes	Leotiomycetes		Leotiomycetes	Helotiales	Helotiales		Helotiales												
OTU97_4425;size=10	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_5092;size=12	Fungi	Fungi	Fungi	Fungi																								
OTU97_6746;size=3	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_3473;size=50	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_4852;size=8	Fungi	Fungi	Fungi	Fungi																								
OTU97_434;size=2133	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellales	Tremellales	Tremellales	Tremellales	Trimorphomycetaceae	Trimorphomycetaceae		Trimorphomycetaceae	Saitozyma	Saitozyma		Saitozyma		Saitozyma sp 		Saitozyma sp 
OTU97_5386;size=15	Fungi	Fungi	Fungi	Fungi																								
OTU97_3606;size=17	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Agaricales	Agaricales		Agaricales	Psathyrellaceae	Psathyrellaceae		Psathyrellaceae	Psathyrella	Psathyrella		Psathyrella				
OTU97_2303;size=48	Fungi	Fungi	Fungi	Fungi																								
OTU97_3699;size=26	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Saccharomycetes	Saccharomycetes	Saccharomycetes	Saccharomycetes	Saccharomycetales	Saccharomycetales		Saccharomycetales	Incertae_sedis	Incertae_sedis		Incertae_sedis	Candida	Candida		Candida	Candida subhashii 	Candida subhashii 		Candida subhashii 
OTU97_3148;size=33		Fungi	Fungi	Fungi		Ascomycota	Ascomycota	Ascomycota		Pezizomycetes		Pezizomycetes		Pezizales		Pezizales		Tuberaceae		Tuberaceae		Tuber		Tuber		Tuber sp 		Tuber sp 
OTU97_2482;size=126	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Sordariales	Sordariales		Sordariales												
OTU97_2477;size=77	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Sporidiobolales	Sporidiobolales		Sporidiobolales	Sporidiobolaceae	Sporidiobolaceae		Sporidiobolaceae	Rhodotorula	Rhodotorula		Rhodotorula				
OTU97_4122;size=20	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Sordariales	Sordariales		Sordariales	Chaetomiaceae	Chaetomiaceae		Chaetomiaceae		Dichotomopilus		Dichotomopilus				
OTU97_6361;size=5	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota		Eurotiomycetes		Eurotiomycetes		Eurotiales		Eurotiales												
OTU97_1901;size=154	Fungi	Fungi	Fungi	Fungi																								
OTU97_5294;size=6	Fungi	Fungi	Fungi	Fungi																								
OTU97_3964;size=20		Fungi	Fungi	Fungi																								
OTU97_6584;size=3	Fungi	Fungi	Fungi	Fungi																								
OTU97_6639;size=5	Fungi	Fungi	Fungi	Fungi																								
OTU97_7118;size=2	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_1726;size=113	Fungi	Fungi	Fungi	Fungi																								
OTU97_5414;size=10	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_3505;size=18	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Leotiomycetes	Leotiomycetes		Leotiomycetes	Helotiales	Helotiales		Helotiales												
OTU97_2832;size=33	Fungi	Fungi	Fungi	Fungi																								
OTU97_2910;size=117	Fungi	Fungi	Fungi	Fungi																								
OTU97_5741;size=5	Fungi	Fungi	Fungi	Fungi		Glomeromycota		Glomeromycota		Glomeromycetes		Glomeromycetes		Glomerales		Glomerales		Glomeraceae		Glomeraceae								
OTU97_6685;size=3	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Saccharomycetes	Saccharomycetes		Saccharomycetes	Saccharomycetales	Saccharomycetales		Saccharomycetales												
OTU97_3979;size=36	Fungi	Fungi	Fungi	Fungi																								
OTU97_6057;size=4	Fungi	Fungi	Fungi	Fungi																								
OTU97_3605;size=17	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes																
OTU97_1395;size=124	Fungi	Fungi	Fungi	Fungi																								
OTU97_627;size=590	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes		Hypocreales		Hypocreales												
